"","location","mean_rent","num_contracts","CBD_dist","CBD_mins","build_age","num_rooms","over_load","dens_household","dens_pop","commuters","tspend_commuters","month_cost","area","unemp_rate","rent_m2","l_rent_m2"
"174","            Santo António da Charneca",336.3,237,34.3,32,32.73,4.9,11.6,693.68,1498.8,44.77,32.48,608.9,108.18,15.8,3.10870770937327,1.13420711230294
"175","            Coina",281.83,41,25.7,27,48.32,4.5,13.2,134.82,258.2,49.57,26.13,496.7,87.05,17.2,3.23756461803561,1.17482138606527
"176","            Alhos Vedros",337.25,397,39.6,40,36.3,4.6,10.7,458.81,840.4,55.71,30.14,445.4,96.08,15.3,3.51009575353872,1.25564331731614
"177","            Baixa da Banheira",310.34,634,39.5,38,40.65,4.1,16.4,2938.64,5265.2,55.23,31.89,465.1,78.1,18.3,3.97362355953905,1.3796784138097
"178","            Moita",366.42,423,38.8,40,38.53,4.7,10.1,502.86,983.9,46.76,25.68,521.8,100.5,15.5,3.64597014925373,1.29362248896397
"179","            Gaio-Rosário",391.25,10,40.8,43,33.15,4.8,9.5,66.82,138.7,42.28,25.34,532.5,110.35,11.9,3.5455369279565,1.26568960915162
"180","            Sarilhos Pequenos",275.15,33,38.9,41,34.72,4.5,11.2,149.79,277.4,47.35,25.72,522.6,91.94,10.2,2.9927126386774,1.09618021312769
"181","            Vale da Amoreira",253.98,263,31.1,37,29.5,4.6,22,1843.98,4082.8,48.8,34.49,515,86.53,27.6,2.93516699410609,1.07676434914224
"182","            Canha",271.76,54,67.4,56,48.26,4.7,10.8,5.68,8,21.76,21.54,488.9,92.15,9.6,2.9491047205643,1.0815016397365
"183","            Montijo",391.02,1261,35.5,38,44.36,4.7,8.4,571.75,1097.5,41.28,25.3,465.3,102.69,13.6,3.80777096114519,1.33704396836214
"184","            Santo Isidro de Pegões",290.63,40,57.5,51,40.39,4.9,12.3,14.53,27.7,31.79,26,622.1,113.56,13.5,2.5592638252906,0.939719648889933
"185","            Sarilhos Grandes",318.71,143,37.9,39,38.88,4.6,13.7,148.99,291,37.8,21.54,598.8,100.2,13.5,3.18073852295409,1.15711340975124
"186","            Alto-Estanqueiro-Jardia",402.37,95,35.6,35,40.22,4.6,14.2,118.31,258.2,31.22,19.31,619,103.79,14,3.87677040177281,1.35500243634525
"187","            Pegões",322.78,90,63.1,56,32.83,4.6,14,47.21,97.8,30.13,20.37,439.4,93.88,9.9,3.43821900298253,1.23495360562485
"188","            Atalaia",466.98,106,47.8,46,26.51,4.8,8.6,436.55,852.2,55.47,25.37,682.3,119.03,8.9,3.92321263547005,1.36691086801956
"189","            Afonsoeiro",412.44,347,31.5,34,41.25,4.6,9.8,908.64,1711.5,51.36,26.82,476.1,101.85,13.7,4.04948453608247,1.39858959797693
"190","            Marateca",328.93,89,63.3,51,34.15,4.7,13.1,14.11,28.4,35.73,23.44,668.5,101.75,16.7,3.23272727272727,1.17332613784733
"191","            Palmela",389.68,439,43.6,43,31.19,5,8.3,116.69,225.6,42.27,22.96,645.1,123.04,12.6,3.16710013003901,1.15281638374095
"192","            Pinhal Novo",385.42,811,41.8,39,31.3,4.6,12.1,229.63,459.1,41.5,25.48,515.9,103.18,13.7,3.73541383989145,1.31785861295327
"193","            Quinta do Anjo",442.85,340,38.9,43,23.48,5,8.8,144.51,232.1,47.71,25.68,551.5,121.56,13.3,3.6430569266206,1.292823144207
"194","            Poceirão",293.6,82,53,51,35.02,4.6,17.3,15.95,31.5,28.58,23.8,608.3,98.44,14.6,2.98252742787485,1.09277107121751
"195","            Aldeia de Paio Pires",365.94,379,24.9,32,36.83,4.4,13.2,400.87,828.2,43.91,28.83,446.9,88.84,14.1,4.11909049977488,1.41563238651019
"196","            Amora",411.53,1722,22.3,32,29.64,4.7,13.3,983.21,1996.3,45.78,30.01,533.2,97.5,15.8,4.22082051282051,1.44002954346568
"197","            Arrentela",358.82,837,21.8,30,29.38,4.5,13.5,1413.54,2841,42.23,28.73,471.7,91.17,15.2,3.93572447076889,1.37009497439443
"198","            Seixal",389.36,157,23.7,34,71.95,4.3,9.3,505.63,744.6,46.34,30.32,435.6,83.87,10.9,4.64242279718612,1.53523638452888
"199","            Corroios",432.24,1277,16.4,29,24.55,4.8,10,1334.51,2785.5,61.32,31.01,551.1,104,12.1,4.15615384615385,1.42459009039444
"200","            Fernão Ferro",397.01,300,25.6,34,19.29,5.2,8.2,418.38,707.1,47.23,30.36,519.7,129.4,13.4,3.06808346213292,1.12105308722003
"201","            Sesimbra (Castelo)",384.47,491,37.9,47,25.27,4.8,11,75.75,106.3,28.17,23.81,505.2,110.61,11.6,3.4759063375825,1.24585526158053
"202","            Sesimbra (Santiago)",344.02,273,40.7,53,52.1,4.2,15,3001.16,2401.4,19.05,20.23,422.5,75.52,12.9,4.55534957627119,1.516302273381
"203","            Quinta do Conde",425.2,785,33.6,39,18.5,4.8,10.7,861.87,1808.1,57.61,30.79,467,112.68,12.9,3.77351792687256,1.32800770345962
"204","            Setúbal (Nossa Senhora da Anunciada)",321.23,570,52.3,51,49.79,4.6,9.4,266.85,471,19.74,22.08,530.3,92.95,17.3,3.45594405594406,1.2400956632946
"205","            Setúbal (Santa Maria da Graça)",325.26,482,49.6,45,66.9,4.4,12.8,1745.42,2780.1,22.3,22.45,566.5,87.47,17.5,3.71853206813765,1.31332898506854
"206","            Setúbal (São Julião)",408.9,672,50.1,47,54.36,4.8,7.7,1940.92,3451,26.62,23.33,553.5,109.12,13.3,3.74725073313783,1.32102243327544
"207","            São Lourenço",422.54,267,36.3,47,25.74,5.2,6.9,132.97,246.4,48.81,29.38,640.9,127.35,12.4,3.31794267765999,1.19934491544662
"208","            Setúbal (São Sebastião)",392.55,2137,49.7,47,41.63,4.5,13.3,1001.91,2038,20.32,21.42,447.3,92.57,17.5,4.24057470022686,1.44469880256514
"209","            São Simão",416.84,118,39.6,43,20.97,5.3,6.2,170.34,328,48.65,28.89,692.2,137.29,10.4,3.03620074295287,1.11060697821471
"210","            Gâmbia-Pontes-Alto da Guerra",306.36,116,50.7,45,27.47,4.9,9.1,76.26,178.5,23.12,22.21,593.6,118.1,11.5,2.59407281964437,0.953229157838076
"211","            Sado",294.96,131,52.2,47,32.47,4.7,11.7,37.58,88.3,16.97,22.36,555.6,100.45,14.6,2.9363862618218,1.07717966266495
